tconst	isAdult	startYear	genres	runtimeMinutes	averageRating	directors	writers
tt0382205	0	2004	Mystery,Thriller	107	6.3	nm0700090	nm1458360,nm0274853,nm0087716,nm0700090
tt0382271	0	2005	Crime,Drama,Romance	126	6.3	nm0537595	nm0276655,nm1458572
tt0382295	0	2004	Comedy,Family,Fantasy	95	4.8	nm0881372	nm1929595,nm0461388,nm1073894,nm0251760,nm0881372,nm0905102
tt0382330	0	2004	Comedy,Drama,Music	133	7.5	nm0689392	nm1637916,nm0648120,nm1856981,nm0689392,nm1856982
tt0382357	0	2004	Drama,War	123	6.4	nm0000694	nm0000694,nm0220600,nm0580618
tt0382365	0	2005	Action,Comedy,Crime	88	6.1	nm0646409	nm0421314,nm0462773,nm0726892,nm0894178
tt0382383	0	2004	Action,Drama,Thriller	161	7.3	nm0711745	nm0440604,nm0711745
tt0382385	0	2003	Action,Adventure,Thriller	154	5.4	nm1460159	nm0080327,nm0796503,nm1242455
tt0382561	0	2004	Comedy,Romance	105	5.0	nm0806492	nm0021175,nm0569134,nm1363554
tt0382572	0	2005	Action,Comedy,Drama	92	6.6	nm0220652	nm0887015,nm0220652,nm1241506
tt0382621	0	2004	Crime,Drama,Thriller	108	6.8	nm0179542	nm0179542
tt0382625	0	2006	Mystery,Thriller	149	6.6	nm0000165	nm0326040,nm1467010
tt0382628	0	2005	Drama,Horror,Mystery	105	5.6	nm0758574	nm0840626,nm0620378,nm0406772,nm0947913
tt0382765	0	2006	Crime,Drama,Mystery	123	6.3	nm0492979	nm1472231,nm0142577
tt0382806	0	2005	Drama,Mystery,Romance	100	6.9	nm0915016	nm0915016
tt0382810	0	2005	Crime,Drama,Romance	114	6.1	nm0940774	nm0675476
tt0382898	0	2003	Documentary	110	7.1	nm0575523	nm0575523
tt0382932	0	2007	Adventure,Animation,Comedy	111	8.1	nm0083348,nm0684342	nm0083348,nm0684342,nm0135296,nm1486235,nm1271884,nm0677037
tt0382988	0	2003	Drama	80	7.0	nm1029210	nm1029210,nm1466188
tt0382992	0	2005	Action,Adventure,Sci-Fi	121	5.1	nm0003418	nm0725379
tt0383010	0	2012	Comedy,Family	92	5.1	nm0125803,nm0268380	nm0148808,nm0125803,nm0268380
tt0383020	0	2004	Comedy,Crime,Drama	154	7.6	nm0613645	nm0156411,nm0326716,nm1600860,nm0613645
tt0383025	0	2004	Comedy,Romance	90	6.6	nm1016687	nm1016687,nm0897065
tt0383028	0	2008	Drama	124	7.5	nm0442109	nm0442109
tt0383041	0	2005	Comedy,Drama,Fantasy	107	5.7	nm0226200	nm0226200,nm0845752
tt0383060	0	2006	Action,Adventure,Comedy	83	4.4	nm0382072	nm0726472,nm1183854,nm0504670
tt0383177	0	1994	Drama,War	123	9.1	nm0014152	nm0014152
tt0383216	0	2006	Adventure,Comedy,Crime	93	5.7	nm0506613	nm0089676,nm0000188,nm0759167,nm0725009,nm0001175
tt0383222	0	2005	Action,Fantasy,Horror	95	3.0	nm0093051	nm0877587
tt0383304	0	2005	Crime,Mystery,Thriller	93	5.3	nm0546554	nm1698577,nm0546554
tt0383353	0	2005	Comedy,Horror,Sci-Fi	93	5.2	nm0922115	nm0922115
tt0383518	0	2005	Drama	101	6.1	nm0614819	nm0614819
tt0383534	0	2004	Drama	96	6.1	nm0001590	nm1011326
tt0383574	0	2006	Action,Adventure,Fantasy	151	7.4	nm0893659	nm0254645,nm0744429,nm0064181,nm0938684
tt0383678	0	1999	Comedy	67	7.9	nm0154104	nm0154104,nm1033215,nm1036211
tt0383694	0	2004	Crime,Drama	125	7.6	nm0005139	nm0005139
tt0383702	0	2003	Action,Romance	180	4.4	nm0435050	nm0664084,nm0664085
tt0383717	0	2004	Comedy,Drama,Romance	99	6.6	nm0532914	nm0532914
tt0383719	0	2003	Comedy	152	5.8	nm0151504	\N
tt0383846	0	2004	Comedy	92	8.4	nm0028968	nm1474292
tt0383862	0	2004	Drama	155	7.4	nm0034899	nm0034899,nm0133426,nm0754428
tt0383975	0	2003	Drama	108	6.8	nm0592803	nm1072561,nm0837000,nm0592803,nm1618886
tt0383995	0	2003	Comedy	90	5.3	nm0046494	nm0046494
tt0384037	0	2004	Comedy,Romance	102	5.5	nm0765225	nm1475568
tt0384116	0	2004	Adventure,Comedy,Sci-Fi	127	8.0	nm0814716	nm0948000
tt0384286	0	2005	Drama,Horror,Mystery	90	5.8	nm0905592	nm0905592,nm0062149
tt0384369	0	2004	Drama,Sport,Thriller	110	7.4	nm0304541	nm0304541,nm0673297
tt0384488	0	2004	Comedy,Drama,Sport	98	7.3	nm1313340	nm1313340
tt0384491	0	2003	Crime,Mystery,Thriller	136	7.0	nm1473010	nm1473010,nm1473658
tt0384504	0	2004	Comedy,Drama,Romance	91	7.4	nm1226108	nm1226108
tt0384533	0	2004	Comedy,Drama	138	5.3	nm0000490	nm0312796,nm0000490
tt0384537	0	2006	Horror,Mystery	125	6.5	nm0304521	nm0000812
tt0384639	0	2004	Drama	103	6.8	nm0377336,nm0026174	nm0377336
tt0384642	0	2005	Comedy,Family,Romance	95	5.6	nm0245888	nm1080144,nm0748874
tt0384680	0	2005	Comedy,Drama	102	6.6	nm0893659	nm0175726
tt0384683	0	2007	Biography,Drama,Music	92	6.3	nm1473025	nm1473025,nm2019529
tt0384686	0	2005	Drama,History,Romance	135	6.5	nm0412465	nm0410958
tt0384699	0	2005	Drama,War	102	6.5	nm1475144	nm1471498,nm1475144,nm1471698
tt0384793	0	2006	Comedy	93	6.4	nm0684336	nm0991423,nm0177836,nm0171651
tt0384806	0	2005	Horror	90	5.9	nm1497918	nm0466925,nm0030663,nm0827839,nm0527567,nm0527582
tt0384810	0	2004	Drama	85	6.4	nm1471001	nm1471001
tt0384814	0	2006	Drama,Romance	117	5.7	nm0001801	nm0001801,nm0266899
tt0384819	0	2003	Action,Adventure,Drama	128	6.7	nm0457565	nm1473712,nm0945451,nm1245013
tt0384832	0	2003	Action,Comedy,Horror	87	5.7	nm0945369	nm1245013,nm1628318,nm1494403,nm0945369
tt0384929	0	2005	Drama,Romance,Thriller	92	6.4	nm0524108	nm0524108
tt0385002	0	2005	Crime,Drama,Sport	109	7.4	nm0591994	nm0591994,nm1471990,nm0791285
tt0385004	0	2004	Action,Adventure,Drama	119	7.5	nm0955443	nm1104077,nm0910841,nm0955443
tt0385017	0	2004	Drama,Mystery,Thriller	127	7.4	nm0568899	nm1088298,nm0568899
tt0385056	0	2005	Comedy,Drama	91	6.5	nm0000114	nm1475479
tt0385057	0	2005	Comedy	90	5.2	nm1425041	nm1475075
tt0385267	0	2004	Comedy,Drama,Romance	109	6.5	nm0919369	nm0919369
tt0385277	0	2007	Drama,Musical,Romance	107	7.5	nm0576529	nm0576529,nm1162018
tt0385307	0	2005	Action,Comedy,Crime	115	5.2	nm0664756	nm0492909,nm0974301,nm0524095
tt0385351	0	2004	Drama,Mystery,Romance	188	3.1	nm1319205,nm1475657	\N
tt0385363	0	2003	Comedy	83	5.6	nm0921264	nm1474882
tt0385560	0	2005	Adventure,Comedy,Fantasy	94	4.1	nm0003116	nm0003116
tt0385568	0	2004	Action,Drama	89	6.5	nm1314116	nm1314116,nm1338070
tt0385635	0	2004	Adventure,Comedy,Sci-Fi	109	6.9	nm1068982	nm0076365,nm0499218,nm5610829
tt0385639	0	1977	Horror	77	4.3	nm1480386	nm1480386
tt0385677	0	2004	Comedy,Romance	95	5.8	nm0469639	nm0018636
tt0385700	0	2005	Action,Adventure,Animation	101	7.1	nm0634602,nm1481959	nm1081992,nm1638748,nm0457592,nm0634602,nm0756983
tt0385703	0	2003	Drama	95	6.9	nm0554532	nm1191060,nm0554532
tt0385705	0	2004	Crime,Drama,Sport	91	6.7	nm0522393	nm1661895,nm0522393
tt0385726	0	2006	Biography,Drama,Sport	118	7.2	nm1595280	nm1480450,nm0319619
tt0385738	0	2003	Comedy,Drama,Family	105	5.8	nm1245382	nm1672099
tt0385751	0	2004	Comedy,Drama	90	5.4	nm0264624	nm0264624
tt0385752	0	2007	Adventure,Family,Fantasy	113	6.1	nm0919363	nm0919363,nm1099514
tt0385842	0	2004	Thriller	125	6.9	nm0183984	nm1509740
